@relation glass6

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute class {A,B,C,D,E,F}

@data
0.496927,0.621053,0.489978,0.551402,0.080357,0.122383,0.402416,0,0,F
0.259877,0.413534,0.775056,0.442368,0.483929,0.099839,0.237918,0,0,B
0.217296,0.390977,0.786192,0.327103,0.510714,0.090177,0.269517,0,0,C
0.417032,0.545865,0,0.538941,0.644643,0,0.27974,0.520635,0,F
0.352502,0.497744,0.797327,0.336449,0.405357,0.090177,0.266729,0,0,A
0.318701,0.344361,0.806236,0.239875,0.451786,0.10306,0.343866,0,0.294118,B
0.321335,0.356391,0.884187,0.280374,0.469643,0.096618,0.27881,0,0,B
0.313433,0.560902,0.498886,0.41433,0.458929,0,0.355948,0,0,E
0.407375,0.398496,0,0.345794,0.435714,0.05314,0.657063,0,0,D
0.298946,0.416541,0.74833,0.417445,0.380357,0.091787,0.314126,0,0.176471,C
0.441615,0.496241,0.837416,0.090343,0.353571,0.017713,0.392193,0,0,C
0.464004,0.413534,0.832962,0.190031,0.392857,0.028986,0.388476,0,0.137255,A
0.261633,0.324812,0.806236,0.398754,0.5625,0.098229,0.249071,0,0,B
0.327041,0.395489,0.76392,0.35514,0.4375,0.082126,0.29461,0,0,B
0.09043,0.341353,0,0.850467,0.158929,1,0.139405,0,0,D
0.341089,0.410526,0.853007,0.302181,0.489286,0.091787,0.258364,0,0.27451,B
0.27568,0.386466,0.801782,0.264798,0.585714,0.093398,0.254647,0,0,A
0.208516,0.344361,0.797327,0.380062,0.591071,0.111111,0.23513,0,0,B
0.528973,0.449624,0.828508,0.068536,0.346429,0.014493,0.430297,0,0.313725,A
0.223003,0.521805,0,0.778816,0.651786,0.006441,0.335502,0.126984,0.176471,F
0.223003,0.512782,0,0.806854,0.5,0.012882,0.348513,0.336508,0,F
0.231782,0.215038,0.783964,0.330218,0.55,0.091787,0.288104,0,0,C
0.280509,0.413534,0.832962,0.274143,0.567857,0.095008,0.241636,0,0,A
0.317384,0.53985,0.726058,0.601246,0.257143,0.235105,0.033457,0.51746,0,F
0.208516,0.314286,0.783964,0.501558,0.544643,0.111111,0.236059,0,0,B
0.188762,0.512782,0,0.744548,0.639286,0.012882,0.33829,0.193651,0.098039,F
0.251097,0.37594,0.788419,0.370717,0.541071,0.090177,0.248141,0,0,B
0.321773,0.437594,0.861915,0.305296,0.383929,0.086957,0.268587,0,0.627451,B
0.597015,0.108271,0,0.495327,0.425,0.130435,0.725836,0,0.666667,B
0.23266,0.401504,0.777283,0.383178,0.507143,0.10789,0.246283,0,0.196078,B
0.245391,0.309774,0.783964,0.389408,0.633929,0.10628,0.229554,0,0,B
0.216857,0.643609,0,0.691589,0.578571,0.008052,0.315985,0.168254,0,F
0.658033,0.446617,0,0.333333,0.255357,0.030596,0.744424,0,0.196078,B
0.220808,0.342857,0.77951,0.370717,0.55,0.096618,0.25,0,0,B
0.182616,0.548872,0,0.738318,0.5875,0.006441,0.339219,0.203175,0,F
1,0.23609,0,0.221184,0.0625,0.019324,1,0,0.470588,B
0.240562,0.330827,0.788419,0.41433,0.5625,0.10306,0.241636,0,0.411765,B
0.27568,0.221053,0.723831,0.271028,0.667857,0.099839,0.322491,0,0.470588,B
0.213784,0.619549,0,0.65109,0.619643,0,0.30948,0.203175,0.176471,F
0.440737,0.336842,0.073497,0.380062,0.639286,0.020934,0.542751,0,0.54902,D
0.291484,0.372932,0.755011,0.323988,0.526786,0.095008,0.29368,0,0,A
0.24144,0.362406,0.768374,0.457944,0.476786,0.096618,0.274164,0,0.333333,C
0.290167,0.421053,0.759465,0.383178,0.398214,0.093398,0.312268,0,0,C
0.215101,0.326316,0.766147,0.361371,0.580357,0.070853,0.263941,0,0,B
0.293679,0.353383,0.777283,0.308411,0.544643,0.096618,0.284387,0,0,A
0.463565,0.124812,0.418708,0.395639,0.544643,0.075684,0.555762,0,0,D
0.316945,0.362406,0.632517,0.308411,0.542857,0.088567,0.33829,0,0,A
0.339333,0.640602,0.173719,0.451713,0.480357,0,0.420074,0,0,E
0.41396,0.318797,0.358575,0.58567,0.423214,0.122383,0.39684,0.07619,1,D
0.311238,0.321805,0.775056,0.311526,0.560714,0.096618,0.27881,0,0,A
0.235294,0.548872,0,0.514019,0.678571,0,0.283457,0.498413,0,F
0.346795,0.431579,0.806236,0.255452,0.505357,0.022544,0.30948,0,0,A
0.277436,0.317293,0.77951,0.264798,0.617857,0.090177,0.289963,0,0,A
0.285777,0.372932,0.821826,0.311526,0.5,0.091787,0.259294,0,0,A
0.548727,0.760902,0.407572,0.317757,0.110714,0.049919,0.295539,0.533333,0,F
0.193591,0.47218,0,0.700935,0.610714,0.022544,0.369888,0.257143,0.019608,F
0.175154,0.619549,0,0.663551,0.698214,0,0.275093,0.177778,0,F
0.17252,0.664662,0,0.610592,0.658929,0,0.270446,0.2,0,F
0.431958,0.445113,0.799555,0.258567,0.383929,0.014493,0.368959,0,0,A
0.323529,0.505263,0.487751,0.426791,0.510714,0,0.361524,0,0,E
0.418349,0.42406,0.465479,0.429907,0.423214,0.085346,0.384758,0.085714,0.333333,B
0.245391,0.321805,0.792873,0.420561,0.594643,0.10467,0.237918,0,0,B
0.343723,0.428571,0.746102,0.292835,0.405357,0.095008,0.32342,0,0,A
0.454785,0.045113,0.380846,0.395639,0.648214,0.093398,0.575279,0,0,D
0.455224,0.348872,0.812918,0.180685,0.430357,0.030596,0.410781,0,0.333333,A
0.466198,0.454135,0.224944,0.333333,0.425,0.05314,0.530669,0,0,B
0.464004,0.418045,0.859688,0.183801,0.353571,0.037037,0.38197,0,0.215686,A
0.200176,0.299248,0.770601,0.395639,0.605357,0.10789,0.247212,0,0.470588,A
