@relation german-weka.filters.unsupervised.instance.Randomize-S9-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute class {p,m}

@data
0.228866,0.052052,-0.101876,-0.036051,0.034836,-0.141573,0.271398,0.185928,-0.195042,0.362539,0.212663,0.315956,0.471909,0.093369,0.409123,-0.142788,0.029773,-0.086685,0.245068,-0.039697,p
0.19592,0.561752,-0.08721,-0.030862,0.199387,0.317286,-0.055135,0.159163,0.077848,-0.052708,0.182049,0.270473,-0.02358,0.079928,0.350228,-0.122233,0.025487,0.403976,0.20979,-0.033983,p
0.214889,0.427876,0.254824,-0.005515,0.192069,-0.132927,-0.060473,-0.334694,0.085385,-0.057811,0.026623,0.296661,-0.076067,-0.450696,0.384138,-0.134068,0.027955,-0.081392,0.230102,-0.037273,p
0.341798,0.077736,-0.152145,-0.046279,0.486986,-0.211431,0.154263,0.00729,0.135812,-0.091953,0.042347,0.184813,0.065335,0.139441,0.040532,-0.213246,0.50816,-0.12946,0.365996,-0.059285,p
0.27476,-0.179445,0.325822,-0.007051,-0.108445,0.444965,0.124007,0.223212,-0.234154,-0.073918,-0.186253,0.148565,0.544657,0.112092,0.032582,-0.171421,0.035743,-0.104068,-0.200113,-0.047658,p
0.331639,0.075426,0.39327,-0.05224,-0.083937,-0.019517,0.149678,0.26942,0.545883,-0.08922,0.041088,-0.100079,-0.220408,0.135297,0.039327,0.30229,0.043142,-0.125612,0.355117,-0.057523,p
0.282005,-0.122285,0.334413,-0.025705,-0.15922,-0.174444,-0.079361,0.229098,0.112053,-0.075867,0.26204,0.389316,-0.011979,0.115048,0.504115,0.257049,0.036686,-0.106812,0.30197,-0.048914,p
-0.343098,-0.340354,0.367802,-0.028271,-0.127907,-0.191861,0.139984,-0.483083,-0.264323,-0.083442,0.288203,0.167707,-0.109791,0.126535,0.03678,-0.193508,0.040348,-0.117477,-0.225896,-0.053798,p
0.33665,0.076566,0.399214,-0.030686,-0.061967,-0.208247,-0.094739,0.273491,0.133766,-0.090568,-0.228207,-0.384318,-0.0143,0.137341,0.039921,0.306858,-0.41113,-0.12751,-0.245189,-0.058392,p
-0.116308,-0.061068,0.106426,-0.045104,-0.033448,0.463713,0.33955,0.232617,0.113774,-0.077032,0.266065,0.154824,0.165974,0.116815,0.033955,-0.178644,0.037249,0.590411,-0.208544,-0.049665,p
-0.134982,-0.21703,-0.147922,0.006176,-0.262319,0.538165,0.394066,0.269965,0.132042,-0.0894,0.308783,-0.100281,0.063521,0.13557,0.039407,0.302901,0.04323,-0.125866,-0.242027,-0.05764,p
-0.226931,-0.225116,-0.091317,-0.032315,-0.121998,0.332228,-0.357644,0.166658,-0.174828,-0.05519,0.025416,-0.061907,0.629962,0.083692,0.024327,-0.127989,0.304996,-0.077701,0.21967,-0.035583,p
0.358415,0.002537,0.133216,-0.040599,-0.188723,-0.021093,0.161763,0.291173,0.142415,-0.096423,0.044405,-0.409164,-0.043137,0.146221,0.042502,0.326697,0.532865,-0.135754,-0.261041,-0.062168,p
-0.120032,0.326885,-0.131539,-0.040011,0.339961,-0.182794,-0.08316,-0.227512,0.117417,-0.079498,-0.200315,0.159781,-0.012552,0.120555,-0.457639,-0.184363,0.439334,-0.111925,0.316425,-0.051256,p
0.301517,-0.26336,0.357551,-0.007738,-0.220668,0.151025,0.357551,0.244949,0.119806,-0.081116,-0.204391,0.163032,0.386902,0.123008,0.035755,0.274834,0.039224,-0.114203,0.322863,-0.052298,p
0.312567,-0.273012,-0.139134,-0.035406,-0.095153,-0.018394,-0.318099,-0.240649,-0.266373,-0.084089,0.290438,-0.094323,-0.329163,0.127516,-0.484064,-0.195008,0.040661,-0.118388,-0.227648,-0.054215,p
0.306968,0.475392,0.364015,-0.034772,0.074161,0.153755,-0.086386,0.249377,0.121972,-0.082582,0.285235,-0.350432,0.010839,0.125232,0.036401,0.279802,0.039933,-0.116267,0.3287,-0.053244,p
0.234058,-0.256842,0.277555,-0.021334,-0.100666,0.379049,-0.065868,-0.36455,0.093002,-0.062968,-0.158662,-0.267199,-0.02817,0.095487,0.027756,0.213345,-0.28584,0.482615,-0.170469,-0.040598,p
0.363002,0.401551,-0.161584,-0.033088,-0.110507,0.181822,0.430463,0.294899,0.144237,-0.097657,0.337303,0.196278,0.097657,0.148092,0.043046,-0.226475,0.047222,-0.137491,-0.264381,-0.062963,p
-0.352238,0.07242,-0.40296,-0.036069,-0.044241,0.159493,-0.089609,0.258684,0.126524,-0.085664,0.29588,-0.363509,-0.33533,-0.269673,0.03776,-0.198662,0.041423,-0.120606,0.340966,-0.055231,p
0.257134,-0.167934,-0.114459,-0.040504,-0.033223,0.416421,-0.448278,0.208893,0.102171,-0.069176,0.23893,0.354982,0.049151,0.104902,0.030492,-0.160424,0.382288,-0.097392,0.275338,-0.0446,p
-0.091003,0.446093,-0.465919,-0.035291,0.356874,0.112217,-0.228003,-0.348943,-0.190928,-0.060272,-0.3311,0.121139,-0.096753,0.091399,0.026567,0.204211,0.029145,-0.084857,-0.163171,-0.03886,p
0.107312,0.240812,0.427969,-0.032896,-0.028776,-0.223246,0.427969,0.29319,0.143401,-0.097091,0.335349,-0.108908,0.322573,0.147234,0.042797,-0.225163,0.046949,-0.136694,-0.262849,-0.062598,p
-0.324974,0.00208,-0.13077,-0.026778,0.007903,0.311975,-0.298976,0.238661,-0.25036,-0.079034,-0.199144,0.158847,-0.149488,-0.616151,0.034837,-0.183286,0.038217,-0.111271,-0.213963,-0.050956,p
-0.184471,-0.182995,0.197753,-0.026269,-0.099909,-0.103156,-0.169713,-0.128392,0.066262,-0.044863,0.154955,-0.190374,0.05785,0.068033,0.019775,-0.104041,-0.203656,0.343853,-0.121456,0.75264,p
-0.163619,-0.29266,0.149716,-0.036716,0.189284,-0.249171,0.181798,-0.310127,0.160054,-0.108366,0.374291,-0.121555,0.484796,0.164332,0.047767,-0.25131,0.052401,-0.152568,-0.293373,-0.069868,p
0.329561,0.074953,-0.146698,-0.037331,0.072328,-0.203861,0.14874,-0.253733,-0.280856,-0.088661,0.306229,-0.099452,-0.270357,0.134449,-0.510382,-0.205611,0.042872,-0.124825,0.352893,-0.057163,p
0.314308,-0.205274,-0.139909,-0.04951,-0.086782,0.509012,0.372719,0.255341,0.124889,-0.084557,0.038941,0.169949,0.353249,0.128227,0.037272,-0.196095,0.040888,-0.119048,0.33656,-0.054517,p
0.21559,-0.04598,-0.095966,-0.024421,0.010188,-0.133361,0.255656,0.175143,0.085664,-0.058,0.200327,-0.065059,0.192696,-0.452167,0.025566,0.526574,0.028046,0.444536,0.230853,-0.037394,p
0.039527,-0.145875,0.157639,-0.02094,-0.082231,-0.082231,-0.03741,-0.207048,0.052821,-0.035763,-0.19646,-0.151757,0.397626,0.054232,0.015764,0.324689,-0.342335,0.274103,-0.096818,0.599969,p
0.107056,0.081885,0.42695,-0.032818,-0.013924,0.583073,-0.101321,0.007679,0.14306,-0.09686,-0.244062,0.194676,-0.127448,0.146883,0.042695,0.328178,0.046837,-0.136369,0.385529,-0.062449,p
0.230481,0.15379,0.273314,-0.031207,0.312068,0.373257,0.273314,-0.35898,0.091581,-0.062006,0.214164,0.124623,0.491558,0.094028,0.027331,0.210085,0.029983,-0.087297,-0.167864,-0.039977,p
0.250116,0.056885,-0.111335,-0.033865,0.239049,0.405055,0.296598,0.005334,0.099382,-0.067288,0.232409,0.13524,0.106023,0.102038,0.02966,-0.156046,0.371854,0.515726,0.267823,-0.043383,p
-0.131049,-0.354033,-0.143612,-0.029408,-0.294076,0.522484,0.382584,0.262098,0.128194,-0.086795,0.299786,-0.097359,0.06167,0.13162,0.038258,-0.201285,0.04197,-0.122198,-0.234975,-0.05596,p
-0.292523,0.060143,-0.117711,-0.035805,-0.029954,-0.163579,0.119349,-0.203596,0.105074,-0.071142,-0.39081,0.365068,-0.031826,0.107882,0.472717,-0.164983,0.39315,-0.10016,0.283162,-0.045868,p
0.270047,-0.057594,0.320232,-0.030589,0.043016,-0.167047,-0.274826,0.005759,-0.568771,-0.07265,-0.183058,0.146016,-0.011471,0.110169,0.032023,0.246149,0.401485,-0.102283,0.289165,-0.04684,p
-0.124823,-0.245839,-0.136789,-0.034809,-0.168606,-0.19009,-0.086479,0.249646,-0.64723,-0.082671,-0.20831,0.166159,-0.108778,0.125367,0.036441,-0.191722,-0.375285,-0.116393,-0.223811,-0.053301,p
-0.35446,0.072877,-0.142635,-0.029208,-0.167589,-0.198214,0.379981,0.260316,-0.273076,-0.086205,0.297747,0.17326,0.484902,0.130725,0.037998,-0.199916,0.041685,-0.121367,-0.233377,-0.055579,p
0.320239,0.354247,0.119027,-0.036275,0.4421,0.160403,0.144533,-0.246556,-0.272912,-0.086153,0.297568,0.173156,0.111092,0.130646,0.037975,0.2919,0.041659,-0.121294,0.342911,-0.055546,p
0.274699,0.183295,0.325749,-0.025039,0.108421,-0.169924,0.123979,0.223163,-0.234102,-0.073901,0.255251,0.148532,-0.203958,0.112068,-0.425419,-0.171383,0.408402,-0.104045,0.294147,-0.047647,p
0.287161,0.002033,0.340527,-0.038881,0.00033,-0.177633,0.340527,-0.44726,0.114102,-0.077254,0.266831,0.15527,0.01014,0.117152,0.034053,-0.179158,0.42693,-0.108765,0.307491,-0.049808,p
0.108859,0.404982,-0.162965,-0.03337,0.073545,-0.226466,-0.103027,-0.281867,0.145469,-0.098492,-0.248173,-0.417941,-0.356384,0.149357,0.043414,-0.22841,0.047626,-0.138666,0.392022,-0.063501,p
0.100851,-0.221512,-0.150977,-0.03842,-0.108355,-0.209807,-0.095448,-0.528268,-0.289047,-0.091246,-0.229917,0.183393,0.27584,0.13837,0.04022,-0.211607,-0.41421,-0.128465,-0.247025,-0.05883,p
-0.289173,-0.28686,0.309993,-0.041178,-0.197563,-0.161706,0.309993,-0.407156,-0.222779,-0.070327,0.242905,0.360888,0.070327,0.106647,0.030999,0.238279,0.034007,-0.099013,0.279919,-0.045342,p
0.237971,-0.103191,-0.301149,-0.021691,-0.126988,-0.014004,0.282195,0.193325,0.094556,-0.06402,0.221123,0.128673,-0.028641,-0.499106,0.02822,-0.148468,-0.290619,0.490683,-0.173318,-0.041276,p
0.303291,0.335499,-0.630738,-0.014494,-0.062537,-0.187611,-0.085351,0.24639,0.120511,-0.081593,-0.205594,0.163992,-0.201568,0.123732,0.035965,0.276451,0.039455,-0.114875,-0.220892,-0.052606,p
-0.098642,-0.247142,-0.108098,-0.022135,-0.065116,-0.150219,-0.06834,0.005179,0.096493,0.833834,-0.164618,-0.277228,-0.029227,0.099072,0.028797,-0.151509,0.031591,-0.09198,-0.176867,-0.042122,p
-0.0753,-0.12107,-0.082518,-0.016897,-0.153716,-0.114672,-0.188659,0.150599,0.305136,0.63652,-0.273966,-0.211627,-0.137639,-0.388802,0.021983,-0.115656,-0.226391,-0.070214,-0.135014,-0.032154,p
-0.089696,-0.144216,-0.098294,-0.020128,-0.150861,-0.136595,-0.062142,0.179391,-0.188185,0.758211,0.205186,-0.252086,0.23059,0.090086,0.026186,0.201278,0.028726,-0.083638,0.236452,-0.038301,p
0.272776,0.062038,0.323468,-0.024864,-0.089557,-0.016053,0.323468,0.2216,0.108386,-0.073384,0.253464,-0.082315,0.350022,-0.572104,0.032347,0.248636,0.035485,-0.103317,-0.198667,-0.047313,p
0.33131,0.148357,0.123142,-0.044859,0.554138,0.351834,-0.093236,-0.25508,0.131645,-0.089131,-0.224587,0.179142,-0.220189,0.135163,0.039288,0.301991,0.0431,-0.125487,-0.241299,-0.057466,p
0.365215,0.243692,0.433087,-0.03329,-0.050419,-0.225916,-0.102777,0.296697,-0.311241,-0.098253,-0.24757,0.197475,-0.072397,0.148995,0.043309,-0.227855,0.04751,-0.138329,0.391071,-0.063347,p
0.17566,-0.114723,0.208305,-0.016011,-0.128869,0.284476,0.208305,0.142704,0.069798,-0.047257,0.163224,-0.200532,0.402619,0.071663,0.02083,0.697976,0.022851,-0.066533,-0.127936,-0.030468,p
0.311925,-0.203717,0.369893,-0.028432,-0.130843,-0.192952,0.369893,-0.240154,0.123942,-0.083916,-0.211446,0.430622,-0.231597,0.127254,0.036989,0.284321,0.040578,-0.118145,-0.22718,-0.054104,p
-0.297828,-0.057421,0.319271,-0.024541,-0.117463,-0.166545,0.121514,0.218725,0.443168,-0.072432,-0.397898,-0.081247,-0.074338,0.109839,0.031927,0.24541,0.400281,-0.101976,0.288297,-0.046699,p
0.112413,-0.302444,-0.168284,-0.042824,-0.236535,-0.233859,-0.384746,0.307128,-0.322183,-0.101707,-0.256274,-0.114085,-0.368018,0.154233,0.044831,-0.235866,0.049181,-0.143192,-0.275344,-0.065574,p
0.353508,-0.38792,0.131392,-0.032222,-0.259343,-0.218674,-0.099483,0.007539,-0.301264,-0.095103,-0.239634,-0.403562,-0.315967,0.144219,0.04192,-0.220551,0.045987,-0.133895,-0.257466,-0.061316,p
-0.158313,0.032549,-0.18111,-0.019378,0.016211,-0.088529,-0.040275,-0.222905,-0.121964,0.491404,0.132983,0.077383,-0.150714,-0.300162,-0.221638,-0.089289,0.018618,-0.054206,-0.104233,0.645917,p
-0.214735,0.300628,0.230195,-0.009277,0.007473,-0.12008,-0.338422,0.157701,0.077133,0.3075,0.180377,0.104962,0.44493,0.079194,0.02302,0.176941,-0.499902,-0.073525,-0.141381,-0.03367,p
-0.307463,-0.181526,0.103308,-0.043783,-0.167998,-0.171934,-0.078219,0.225801,0.110441,-0.074775,-0.188414,-0.317302,0.161111,0.113393,0.03296,0.25335,-0.33944,0.573112,-0.202434,-0.04821,p
-0.275493,-0.273289,-0.110858,-0.028211,-0.222598,-0.154056,0.295329,-0.191743,-0.21224,-0.067,-0.368059,-0.075155,0.260066,-0.522335,0.029533,-0.155378,0.032398,-0.094329,0.266677,-0.043197,p
0.318248,-0.349228,-0.141662,-0.04309,-0.203059,0.159406,-0.08956,-0.245023,0.126454,-0.085617,0.295717,-0.096038,0.357677,0.129834,-0.492862,-0.198553,0.0414,-0.12054,-0.231786,-0.0552,p
0.32096,-0.139177,-0.14287,-0.043457,0.054535,-0.018888,-0.326641,-0.499903,-0.273526,-0.086347,0.298237,0.173546,-0.312439,0.13094,0.038061,-0.200245,0.041753,-0.121567,0.343683,-0.055671,p
-0.103036,-0.165666,0.094282,-0.023121,-0.213705,-0.156911,-0.071385,0.206072,0.417532,0.401819,0.235704,-0.289579,-0.307537,0.103485,-0.39284,0.231214,0.032999,-0.096077,-0.184747,-0.043998,p
0.346241,0.38301,0.128691,-0.03156,0.128385,-0.214179,-0.097438,0.281283,-0.295071,-0.093148,0.321729,-0.395267,-0.041672,0.141254,0.041059,0.3156,0.045042,-0.131143,-0.252174,-0.060056,p
-0.120421,0.327943,0.110189,-0.046699,0.385661,-0.183386,-0.083429,-0.228248,-0.252647,-0.079756,-0.200963,-0.089463,0.425014,0.120945,-0.45912,-0.18496,0.038566,-0.112288,-0.215918,-0.051421,p
-0.071177,0.348905,-0.221749,-0.027602,0.488468,0.283776,-0.305486,0.142353,0.069626,0.277574,0.162823,0.241908,0.006187,0.071487,0.31324,-0.109324,0.260516,-0.06637,0.187634,-0.030394,p
-0.125667,0.34223,0.114989,-0.048734,-0.039699,-0.018207,0.36687,0.251334,0.122929,-0.08323,0.03833,0.427103,-0.133606,0.126214,0.553043,-0.193018,0.040246,-0.117179,-0.225324,-0.053662,p
0.212105,-0.138525,-0.094415,-0.005443,-0.124823,-0.131204,0.251522,0.172311,0.084279,-0.057062,0.197088,-0.064007,0.18958,-0.444856,0.025152,0.518061,0.027592,0.437348,0.227121,-0.03679,p
-0.134892,0.661235,-0.420251,0.013519,0.030564,-0.019543,0.14988,0.269784,0.131953,-0.08934,-0.225114,0.179562,-0.143414,0.13548,0.03938,-0.207187,0.043201,-0.125782,-0.241865,-0.057601,p
0.238975,0.054351,0.283386,-0.032357,0.266467,0.387012,-0.067251,-0.183989,0.094955,-0.064291,0.222056,-0.072115,0.194352,0.097493,0.028339,0.217826,0.35529,0.492753,0.255893,-0.04145,p
0.385709,-0.167254,0.45739,-0.035158,-0.231084,-0.238594,-0.108545,0.313346,0.15326,-0.103766,-0.261463,-0.116395,-0.136534,0.157356,0.045739,0.351576,0.050176,-0.146092,-0.280919,-0.066902,p
-0.306367,-0.26225,0.328425,-0.043627,-0.220584,-0.17132,0.328425,0.224996,0.110047,-0.074508,0.257348,-0.31617,0.247544,0.112988,0.032843,0.252446,-0.338229,-0.1049,-0.201712,-0.048038,p
-0.206067,-0.108197,-0.225821,0.020652,-0.103258,-0.029855,-0.142766,0.412135,0.201578,-0.13648,0.471396,0.274308,-0.061057,0.206965,0.060159,-0.316509,0.065995,-0.19215,-0.369485,-0.087994,p
-0.157203,-0.16782,-0.172273,-0.018494,-0.077745,-0.022776,-0.108912,0.008254,-0.329818,-0.104117,-0.262348,-0.441813,-0.317489,0.157888,0.045894,-0.241456,-0.472637,-0.146586,-0.28187,-0.067128,p
-0.310106,0.187056,-0.124787,-0.037957,0.051602,-0.173411,-0.078891,0.227742,-0.590441,-0.075418,0.260489,-0.084597,0.097249,0.114367,0.033243,-0.1749,0.416782,-0.10618,0.300182,-0.048625,p
0.089254,-0.130162,-0.133616,-0.007703,-0.128569,-0.185681,0.355954,0.243855,0.119271,-0.080754,0.278919,0.162305,0.10413,0.122459,-0.464866,-0.187274,0.446271,-0.113693,0.321421,-0.052065,p
0.292866,-0.126995,-0.130364,-0.033174,-0.051835,-0.181162,-0.29805,-0.225481,0.116369,-0.078789,0.036284,-0.088378,-0.194639,-0.614242,0.034729,0.266949,-0.35766,-0.110926,-0.2133,-0.050798,p
-0.127437,0.071354,-0.139654,-0.035538,-0.019907,-0.018463,0.372039,0.254875,0.124661,-0.084403,0.291523,0.43312,-0.135489,0.127993,0.560835,-0.195737,0.040813,-0.11883,-0.228499,-0.054418,p
0.286219,-0.186929,0.33941,-0.026089,-0.238093,-0.17705,0.33941,0.232521,0.113728,-0.077,0.265955,-0.326745,0.455924,0.116767,0.033941,-0.17857,0.037234,-0.108409,-0.208458,-0.049645,p
0.451686,-0.195864,-0.20106,-0.061157,-0.034296,-0.279406,0.203858,-0.347758,0.179475,-0.121516,-0.306187,0.24423,-0.089538,0.184272,0.053563,-0.281804,0.058759,-0.171081,-0.328971,-0.078346,p
-0.081319,0.574014,0.074409,-0.018248,0.370274,0.324212,-0.056338,-0.154133,0.079547,-0.053858,-0.135708,0.276377,-0.133051,0.081673,0.357873,-0.124901,0.297637,-0.075827,-0.145807,-0.034724,p
0.107044,-0.156106,-0.160248,0.014655,-0.065947,-0.22269,0.162478,-0.277168,0.143044,-0.096849,0.334513,-0.108637,-0.267292,0.146867,-0.557522,-0.224602,0.046832,-0.136354,0.385486,-0.062442,p
-0.074558,-0.039147,0.217663,-0.016731,-0.084953,-0.113542,0.217663,0.003915,-0.156425,0.630248,0.170557,-0.209541,0.177054,-0.384971,-0.284261,0.167308,-0.22416,-0.069522,0.196546,-0.031837,p
-0.329899,-0.238583,0.353652,-0.046978,-0.20876,-0.18448,0.134599,0.242278,0.1185,0.472416,0.036949,-0.089997,0.311425,0.121667,0.035365,0.271837,0.038796,-0.112958,0.319343,-0.051728,p
0.422994,-0.183422,-0.188289,-0.029572,-0.266524,0.211871,0.190909,0.343636,0.168075,-0.113797,0.052406,-0.127647,0.014936,0.172567,0.05016,0.385561,0.055027,-0.160214,0.452941,-0.073369,p
