@relation flare1

@attribute att1 {3,2,1,6,5,4}
@attribute att2 {2,3,1,4}
@attribute att3 {1,2}
@attribute att4 {3,2,1}
@attribute att5 {1,3}
@attribute att6 {2,1}
@attribute att7 {2,1}
@attribute att8 {1,2}
@attribute att9 {2,1}
@attribute att10 {2,1,3}
@attribute att11 {4,3,1,2}
@attribute att12 {2,1}
@attribute att13 {1,5,2,6,3,4}

@data
2,2,1,2,1,2,2,1,2,3,3,2,2
5,1,1,3,1,1,2,1,1,3,3,2,3
4,1,1,1,1,1,2,1,1,3,3,2,2
2,2,1,2,1,1,2,1,1,3,3,2,2
1,1,1,1,1,1,2,1,1,3,3,2,2
1,2,1,3,1,1,2,1,1,3,3,2,2
2,2,2,3,1,2,2,1,1,3,3,2,2
2,2,1,2,1,2,2,1,1,3,3,2,2
5,1,1,2,1,1,2,1,1,3,3,2,3
1,1,1,3,1,2,2,1,2,3,3,2,2
1,1,1,3,1,1,2,1,1,3,3,2,2
5,1,1,3,1,1,2,1,1,3,3,2,3
2,1,1,3,1,2,2,1,2,3,3,2,2
2,2,1,3,1,2,2,1,2,3,3,2,2
5,1,1,3,1,1,2,1,1,3,3,2,3
2,1,1,3,1,2,2,1,2,3,3,2,2
1,2,1,3,1,1,2,1,1,3,3,2,2
3,4,1,2,1,1,2,1,2,3,3,2,2
2,2,1,2,1,1,2,1,2,3,3,2,2
5,1,1,3,1,1,2,1,1,3,3,2,3
1,1,1,2,1,2,2,1,2,3,3,2,2
3,2,2,3,1,2,2,1,2,3,3,2,6
1,1,1,2,1,2,2,1,2,3,3,2,1
1,2,1,3,1,2,2,1,2,3,3,2,2
1,2,1,3,1,2,2,1,2,3,3,2,2
5,1,1,3,1,1,2,1,1,3,3,2,3
5,1,1,3,1,1,2,1,1,3,3,2,3
4,1,1,3,1,1,2,1,1,3,3,2,1
1,3,1,2,1,1,1,1,2,3,3,2,5
2,1,1,2,1,2,2,1,2,3,3,2,2
3,4,2,2,3,2,2,1,2,3,3,2,2
3,2,1,3,1,2,2,1,2,3,2,1,2
1,2,1,2,1,2,2,1,1,3,1,2,2
2,1,1,2,1,2,2,1,2,3,3,2,1
1,1,1,1,1,2,2,1,2,3,3,2,2
1,3,1,3,1,2,2,1,2,3,3,2,5
3,2,1,3,1,2,2,1,2,3,3,2,2
4,3,1,2,1,1,2,1,2,3,3,2,5
5,1,1,2,1,1,2,1,1,3,3,2,3
1,3,1,3,1,1,1,1,2,3,3,2,5
1,1,1,1,1,2,2,1,2,3,3,2,1
3,4,2,2,3,2,2,1,2,3,3,2,2
2,2,1,2,1,2,2,1,2,3,3,2,2
1,1,2,2,1,2,2,1,1,3,3,2,1
1,1,1,2,1,2,2,1,2,3,3,2,1
1,1,1,2,1,2,2,1,2,3,3,2,1
1,1,2,3,1,2,2,1,2,3,3,2,1
3,2,1,3,1,2,2,1,2,3,1,2,2
4,3,1,2,1,1,2,1,2,3,3,2,5
1,3,1,3,1,1,1,1,2,3,3,2,5
3,1,1,2,3,2,2,1,2,3,3,2,1
1,1,1,1,3,2,2,1,2,3,3,2,1
1,1,1,1,1,2,2,1,2,3,3,2,1
3,2,1,3,1,2,2,1,2,3,3,2,1
2,4,1,3,1,2,2,1,2,3,3,2,6
4,3,1,2,1,1,2,1,2,3,3,2,5
1,3,1,2,1,1,1,1,2,3,3,2,5
4,3,1,2,1,1,2,1,2,3,3,2,5
1,3,2,2,1,1,2,1,2,3,3,2,5
5,1,1,3,1,1,2,1,2,3,3,2,3
1,2,1,2,1,2,2,1,2,3,3,2,1
1,3,1,1,1,2,2,1,2,3,3,1,5
3,4,1,3,3,2,2,1,2,3,1,2,2
2,2,2,2,3,2,2,1,2,3,3,2,2
1,3,1,2,1,1,2,1,2,3,3,2,5
5,1,1,2,1,1,2,1,1,3,3,2,3
1,2,2,3,3,1,2,1,1,3,1,2,1
1,1,1,1,1,1,2,1,2,3,1,2,1
3,3,2,2,3,2,2,1,2,3,3,2,5
3,2,1,3,1,2,2,1,2,3,3,2,2
2,3,1,3,1,1,2,1,2,3,3,2,5
4,1,1,1,1,1,2,1,2,3,3,2,1
4,1,1,3,1,1,2,1,2,3,3,2,1
5,1,1,3,1,1,2,1,1,3,3,2,3
3,3,1,3,1,2,2,1,2,3,3,2,5
3,2,1,3,1,2,2,1,2,3,3,2,1
1,3,1,2,1,1,2,1,2,3,3,2,5
5,1,1,3,1,1,2,1,1,3,3,2,3
4,2,2,3,3,1,2,1,2,3,3,2,1
4,3,1,2,3,1,2,1,2,3,3,2,5
5,1,1,3,1,1,2,1,1,3,3,2,3
4,1,1,3,1,1,2,1,2,3,3,2,2
3,3,1,2,1,2,2,1,2,3,3,2,5
3,2,1,2,1,2,2,1,2,3,3,2,2
6,3,1,3,1,1,2,1,2,3,3,2,5
5,2,1,3,1,1,2,1,1,3,3,2,3
5,1,1,3,1,1,2,1,1,3,3,2,3
5,2,1,3,1,1,2,1,1,3,3,2,3
2,3,1,3,1,2,2,1,2,3,3,2,5
3,1,1,2,1,2,2,1,2,3,3,2,1
1,3,1,2,1,1,2,1,2,3,3,2,5
5,1,1,2,1,1,2,1,1,3,3,2,3
4,1,1,3,1,1,2,1,1,3,3,2,1
5,2,1,3,1,1,2,1,1,3,3,2,3
2,1,1,3,1,2,2,1,2,3,3,2,1
3,2,1,2,1,2,2,1,2,3,3,2,1
1,3,1,2,1,1,2,1,2,3,3,2,5
1,2,1,3,1,1,2,1,1,3,3,2,2
5,1,1,2,1,1,2,1,1,3,3,2,3
5,1,2,2,1,1,2,1,1,3,3,2,3
1,3,1,2,1,1,1,1,2,3,3,2,5
2,3,1,3,1,1,2,1,2,3,3,2,5
5,1,1,3,1,1,2,1,2,3,3,2,3
1,3,1,3,1,1,1,1,2,3,3,2,5
1,1,1,3,1,1,2,1,2,3,1,2,1
2,2,1,3,1,1,2,1,2,3,3,2,1
1,3,1,3,1,1,1,1,2,3,3,2,5
1,1,1,2,3,2,2,1,2,3,3,2,1
5,1,1,2,1,1,2,1,1,3,3,2,3
1,3,1,2,1,1,1,1,2,3,3,2,5
1,1,1,3,1,1,2,1,2,3,3,2,1
1,1,1,3,1,1,2,1,2,3,3,2,1
4,3,1,2,1,1,1,1,2,3,3,2,5
1,1,2,2,1,2,2,1,2,3,1,2,1
1,3,1,3,1,1,1,1,2,3,3,2,5
1,3,2,2,3,1,2,1,2,3,3,2,5
1,1,1,2,1,1,2,1,2,3,3,2,1
2,2,1,3,1,1,2,1,2,3,3,2,1
1,2,1,3,1,1,2,1,2,3,2,2,6
5,1,1,2,1,1,2,1,1,3,3,2,3
1,1,1,1,1,2,2,1,2,3,3,2,1
1,1,1,2,1,1,2,1,2,3,3,2,1
1,3,1,1,1,1,2,1,2,3,3,2,5
1,1,1,2,1,1,2,1,2,3,3,2,1
1,2,2,2,1,1,2,1,2,3,3,2,1
5,1,1,3,1,1,2,1,2,3,3,2,3
2,1,1,3,1,1,2,1,2,3,3,2,1
1,1,1,3,1,1,2,1,2,3,3,2,1
4,2,1,3,1,1,2,1,2,3,3,2,1
5,1,1,2,3,2,2,1,2,3,3,2,3
6,1,1,2,1,1,2,1,2,3,3,2,2
1,3,1,1,1,1,2,1,2,3,3,2,5
4,3,1,2,1,1,2,1,2,3,3,2,5
2,3,1,2,1,1,2,1,2,3,3,2,5
4,2,1,2,1,1,2,1,2,3,3,2,1
4,1,2,1,1,1,2,1,2,3,3,2,1
4,1,1,2,1,1,2,1,2,3,3,2,2
1,3,1,2,1,1,2,1,2,3,3,2,5
5,1,1,2,1,1,2,1,1,3,3,2,3
5,2,1,3,1,1,2,1,2,3,3,2,3
5,1,1,3,1,1,2,1,1,3,3,2,3
2,2,1,3,1,1,2,1,2,3,3,2,2
5,1,1,3,1,1,2,1,2,3,1,2,3
5,1,1,2,1,1,2,1,2,3,3,2,3
5,2,1,3,1,1,2,1,1,3,3,2,3
5,2,1,3,1,1,2,1,1,3,3,2,3
2,2,1,3,1,1,2,1,2,3,3,2,2
6,2,2,3,1,1,2,1,2,3,3,2,1
3,2,1,3,1,1,2,1,1,3,3,2,1
2,1,1,2,1,1,2,1,2,3,3,2,1
2,2,1,2,1,1,2,1,2,3,3,2,2
5,1,1,3,1,1,2,1,2,3,3,2,3
5,2,1,3,1,1,2,1,2,3,3,2,3
5,2,1,2,1,2,2,1,2,3,3,2,3
5,2,1,3,1,1,2,1,1,3,3,2,3
2,2,1,3,1,2,2,1,2,3,3,2,1
4,1,1,2,3,1,2,1,2,3,3,2,1
2,1,1,2,1,1,2,1,2,3,3,2,6
1,1,1,1,1,1,2,1,2,3,3,2,1
2,2,1,3,1,2,2,1,2,3,3,2,2
5,1,2,3,1,1,2,1,2,3,1,2,3
4,1,1,3,1,1,2,1,2,3,3,2,1
1,2,1,2,1,2,2,1,2,3,3,2,2
2,3,1,3,1,1,1,1,2,3,3,2,5
5,1,1,2,1,1,2,1,1,3,3,2,3
2,1,1,3,1,2,2,1,2,3,3,2,1
6,2,1,3,1,1,2,1,2,3,3,2,2
2,2,2,3,1,2,2,1,2,3,3,2,4
1,3,1,3,1,1,2,1,2,3,3,2,5
3,4,1,3,1,2,2,1,2,3,3,2,2
5,1,1,3,1,1,2,1,1,3,3,2,3
5,1,2,2,3,1,2,1,1,3,3,2,3
2,2,1,3,1,1,2,1,2,3,3,2,2
2,2,1,3,1,2,2,1,2,3,3,2,1
4,3,1,2,1,1,1,1,2,3,3,2,5
4,1,1,1,1,2,2,1,1,3,3,2,1
6,2,2,3,3,2,2,1,2,3,3,2,2
3,2,2,2,3,2,2,1,2,3,1,2,6
3,2,1,3,1,1,2,1,2,3,3,2,6
1,1,1,2,1,1,2,1,2,3,3,2,1
5,1,1,3,1,1,2,1,1,3,3,2,3
5,1,2,2,3,1,2,1,1,3,3,2,3
1,1,1,3,1,2,2,1,2,3,3,2,2
4,3,1,3,1,1,2,1,2,3,3,2,5
2,3,1,3,1,2,2,1,2,3,3,2,5
4,3,1,2,1,1,1,1,2,3,3,2,5
1,3,1,3,1,1,2,1,2,3,3,2,5
4,2,1,3,1,1,2,1,2,3,3,2,1
2,2,1,3,1,2,2,1,2,3,1,2,4
3,2,2,3,1,2,2,1,2,3,3,2,6
1,3,1,2,1,1,2,1,2,3,3,2,5
3,4,1,3,1,2,2,1,2,3,1,1,2
1,2,1,3,1,2,2,1,2,3,3,2,2
2,3,1,3,1,2,2,1,2,3,1,1,5
4,3,1,2,1,1,1,1,1,3,3,2,5
1,3,1,2,1,1,2,1,2,3,3,2,5
5,1,1,3,1,1,2,1,2,3,3,2,3
6,1,1,2,1,2,2,1,2,3,3,2,1
2,2,2,3,3,2,2,1,2,3,1,2,4
3,4,1,3,1,2,2,1,2,3,1,2,6
1,1,1,3,1,1,2,1,2,3,3,2,1
1,1,1,2,1,2,2,1,2,3,3,2,1
4,1,1,2,1,2,2,1,1,3,3,2,1
5,1,1,3,1,1,2,1,1,3,3,2,3
4,3,1,3,1,1,2,1,2,3,3,2,5
2,2,1,3,1,1,2,1,2,3,3,2,6
5,1,1,2,1,1,2,1,1,3,3,2,3
1,3,2,3,1,2,2,1,2,3,3,2,5
2,2,2,2,3,2,2,1,2,3,3,2,6
1,3,1,3,1,1,2,1,2,3,3,2,5
3,4,2,3,3,2,2,2,2,3,2,2,2
1,2,1,2,1,2,2,1,1,3,3,2,1
5,1,1,3,1,1,2,1,1,3,3,2,3
2,2,1,3,1,2,2,1,2,3,3,2,6
5,1,1,3,1,1,2,1,1,3,3,2,3
3,3,1,2,1,2,2,1,2,3,3,2,5
3,2,1,3,3,2,2,2,2,3,3,2,4
2,2,2,2,3,2,2,1,2,3,1,2,6
6,3,1,3,1,1,2,1,2,3,3,2,5
2,1,1,3,1,2,2,1,2,3,3,2,1
3,2,1,3,1,1,2,1,2,3,3,2,6
1,3,1,2,1,2,2,1,2,3,3,2,5
1,1,1,2,1,2,2,1,2,3,3,2,4
1,3,1,2,1,1,2,1,2,3,3,2,5
1,3,1,1,1,2,2,1,2,3,3,2,5
1,2,1,3,1,1,2,1,2,3,3,2,6
1,3,1,2,1,2,2,1,2,3,3,2,5
1,1,1,2,1,2,2,1,2,3,3,2,4
1,1,2,2,3,2,2,1,2,3,1,2,6
1,3,1,2,1,1,2,1,2,3,3,2,5
1,3,1,2,1,2,2,1,2,3,3,2,5
1,1,1,2,1,2,2,1,2,3,3,2,1
5,1,1,3,1,1,2,1,1,3,3,2,3
5,1,1,3,1,1,2,1,1,3,3,2,3
1,3,1,3,1,1,1,1,2,3,3,2,5
1,3,1,2,1,2,2,1,2,3,3,2,5
2,1,2,3,1,2,2,1,2,3,3,2,6
1,3,1,3,1,1,2,1,2,3,3,2,5
1,3,1,3,1,2,2,1,2,3,3,2,5
2,1,1,2,1,2,2,1,2,3,3,2,1
2,1,1,3,1,1,2,1,2,3,3,2,2
1,1,1,3,1,1,2,1,2,3,3,2,2
1,1,1,1,3,2,2,1,2,3,3,2,1
1,3,1,2,1,1,2,1,2,3,3,2,5
3,4,2,3,3,2,2,2,2,3,3,2,2
4,1,1,2,1,2,2,1,2,3,3,2,1
4,1,1,3,1,1,2,1,2,3,3,2,2
2,1,1,3,1,1,2,1,2,3,3,2,6
4,1,1,3,1,1,2,1,1,3,3,2,1
3,4,1,3,1,1,2,2,2,3,2,2,6
